en-US	de-DE	es-ES	es-MX	fr-CA	fr-FR	fr-CH	fr-BE	it-IT	it-CH	ja-JP	nl-NL	nl-BE	pt-BR	zh-CN	en-CA	en-IN	en-AU	en-EU	en-MY	en-SG	es-AR	es-ROAM	de-CH	de-AT	en-CH	en-NZ	en-PH	en-ZA
TV mount for video bars	TV-Halterung für Videobars	Soporte de televisión para barras de vídeo	Pieza de montaje en TV para barras de video	Support TV pour barres vidéo	Support TV pour barres vidéo	Support TV pour barres vidéo	Support TV pour barres vidéo	Supporto TV per barre video	Supporto TV per barre video	TVマウント（ビデオバー用）	TV-bevestiging voor videobars	TV-bevestiging voor videobars	Suporte de TV para barras de vídeo	视频会议一体机电视安装配件	TV mount for video bars	TV mount for video bars	TV mount for video bars	TV mount for video bars	TV mount for video bars	TV mount for video bars	Pieza de montaje en TV para barras de video	Pieza de montaje en TV para barras de video	TV-Halterung für Videobars	TV-Halterung für Videobars	TV mount for video bars	TV mount for video bars	TV mount for video bars	TV mount for video bars
Wall mount for video bars	Wandhalterung für Videobars	Soporte de pared para barras de vídeo	Pieza de montaje en pared para barras de video	Fixation murale pour barres vidéo	Fixation murale pour barres vidéo	Fixation murale pour barres vidéo	Fixation murale pour barres vidéo	Supporto a parete per barre video	Supporto a parete per barre video	ビデオバー用ウォールマウント	Wandbevestiging voor videobars	Wandbevestiging voor videobars	Suporte de parede para barras de vídeo	视频会议一体机墙面安装配件	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars	Pieza de montaje en pared para barras de video	Pieza de montaje en pared para barras de video	Wandhalterung für Videobars	Wandhalterung für Videobars	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars	Wall mount for video bars
USB-connected room controller with Cat5e kit	USB-Raumcontroller mit Cat5e-Kit	Controlador de sala conectado por USB con kit Cat5e	Controlador de sala conectado por USB con kit Cat5e	Contrôleur de salle connecté via USB avec kit Cat5e	Contrôleur de salle connecté via USB avec kit Cat5e	Contrôleur de salle connecté via USB avec kit Cat5e	Contrôleur de salle connecté via USB avec kit Cat5e	Dispositivo di controllo per sale riunioni con connessione USB e kit Cat5e	Dispositivo di controllo per sale riunioni con connessione USB e kit Cat5e	USB接続の会議室コントローラ（Cat5eキット付属）	Controller met USB-aansluiting en Cat5e-kit	Controller met USB-aansluiting en Cat5e-kit	Controlador de sala conectado por USB com kit Cat5e	连接 USB 的会议室控制器，带 Cat5e 套件	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	Controlador de sala conectado por USB con kit Cat5e	Controlador de sala conectado por USB con kit Cat5e	USB-Raumcontroller mit Cat5e-Kit	USB-Raumcontroller mit Cat5e-Kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit	USB-connected room controller with Cat5e kit
Network-connected room controller	Raum-Controller mit Netzwerkanbindung	Controlador de sala conectado a la red	Controlador de sala conectado a la red	Contrôleur de salle connecté au réseau	Contrôleur de salle connecté au réseau	Contrôleur de salle connecté au réseau	Contrôleur de salle connecté au réseau	Dispositivo di controllo per sale riunioni connesso alla rete	Dispositivo di controllo per sale riunioni connesso alla rete	ネットワーク接続対応の会議室コントローラ	Op het netwerk aangesloten controller	Op het netwerk aangesloten controller	Controlador de sala conectado à rede	联网会议室控制器	Network-connected room controller	Network-connected room controller	Network-connected room controller	Network-connected room controller	Network-connected room controller	Network-connected room controller	Controlador de sala conectado a la red	Controlador de sala conectado a la red	Raum-Controller mit Netzwerkanbindung	Raum-Controller mit Netzwerkanbindung	Network-connected room controller	Network-connected room controller	Network-connected room controller	Network-connected room controller
Extend audio pickup	Audioerfassung erweitern	Amplíe la captación de audio	Captación de audio ampliada	Étendre la détection audio	Étendre la détection audio	Étendre la détection audio	Étendre la détection audio	Estendi il rilevamento audio	Estendi il rilevamento audio	声の集音範囲を拡張	Groter audio-opnamebereik	Groter audio-opnamebereik	Amplie a captação de áudio	扩展拾音范围	Extend audio pickup	Extend audio pickup	Extend audio pickup	Extend audio pickup	Extend audio pickup	Extend audio pickup	Captación de audio ampliada	Captación de audio ampliada	Audioerfassung erweitern	Audioerfassung erweitern	Extend audio pickup	Extend audio pickup	Extend audio pickup	Extend audio pickup
Table mount for Mic Pods	Tischhalterung für Mic Pods	Soporte de mesa para Mic Pods	Pieza de montaje en mesa para Mic Pods	Support de table pour modules de micro	Support de table pour modules de micro	Support de table pour modules de micro	Support de table pour modules de micro	Supporto da tavolo per mic pod	Supporto da tavolo per mic pod	マイクポッド用テーブルマウント	Tafelbevestiging voor Mic Pods	Tafelbevestiging voor Mic Pods	Suporte para mesa para mic pods	麦克风桌面安装配件	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Pieza de montaje en mesa para Mic Pods	Pieza de montaje en mesa para Mic Pods	Tischhalterung für Mic Pods	Tischhalterung für Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods
Table mount for Mic Pods	Tischhalterung für Mic Pods	Soporte de mesa para Mic Pods	Pieza de montaje en mesa para Mic Pods	Support de table pour modules de micro	Support de table pour modules de micro	Support de table pour modules de micro	Support de table pour modules de micro	Supporto da tavolo per mic pod	Supporto da tavolo per mic pod	マイクポッド用テーブルマウント	Tafelbevestiging voor Mic Pods	Tafelbevestiging voor Mic Pods	Suporte para mesa para mic pods	麦克风桌面安装配件	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Pieza de montaje en mesa para Mic Pods	Pieza de montaje en mesa para Mic Pods	Tischhalterung für Mic Pods	Tischhalterung für Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods	Table mount for Mic Pods
Ceiling mount for Mic Pods	Deckenhalterung für Mic Pods	Soporte de techo para Mic Pods	Pieza de montaje en techo para Mic Pods	Support de plafond pour modules de micro	Support de plafond pour modules de micro	Support de plafond pour modules de micro	Support de plafond pour modules de micro	Supporto da soffitto per mic pod	Supporto da soffitto per mic pod	マイクポッド用シーリングマウント	Plafondbevestiging voor Mic Pods	Plafondbevestiging voor Mic Pods	Suporte de teto para mic pods	麦克风天花板安装配件	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Pieza de montaje en techo para Mic Pods	Pieza de montaje en techo para Mic Pods	Deckenhalterung für Mic Pods	Deckenhalterung für Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods	Ceiling mount for Mic Pods
Mount Tap controllers to the wall	Tap Controller an der Wand montieren	Monte los mandos táctiles Tap en la pared	Monta el remoto táctil Tap en la pared	Fixer les contrôleurs Tap au mur	Fixer les contrôleurs Tap au mur	Fixer les contrôleurs Tap au mur	Fixer les contrôleurs Tap au mur	Fissa i dispositivi di controllo Tap alla parete	Fissa i dispositivi di controllo Tap alla parete	Tapコントローラを壁面に固定	Bevestig Tap-controllers aan de wand	Bevestig Tap-controllers aan de wand	Instale os controladores Tap na parede	将 TP100 控制器安装到墙面上	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Monta el remoto táctil Tap en la pared	Monta el remoto táctil Tap en la pared	Tap Controller an der Wand montieren	Tap Controller an der Wand montieren	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall	Mount Tap controllers to the wall
Raise Tap controllers at the table	Tap Controller am Tisch platzieren	Eleve los mandos táctiles Tap en la mesa	Eleva el remoto táctil Tap en la mesa	Placer les contrôleurs Tap sur la table	Placer les contrôleurs Tap sur la table	Placer les contrôleurs Tap sur la table	Placer les contrôleurs Tap sur la table	Alza i dispositivi di controllo Tap sul tavolo	Alza i dispositivi di controllo Tap sul tavolo	Tapコントローラをテーブルに設置	Zet Tap-controllers omhoog op de tafel	Zet Tap-controllers omhoog op de tafel	Eleve os controladores Tap na mesa	在桌面上加高 TP100 控制器	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table	Eleva el remoto táctil Tap en la mesa	Eleva el remoto táctil Tap en la mesa	Tap Controller am Tisch platzieren	Tap Controller am Tisch platzieren	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table	Raise Tap controllers at the table
Secure Tap controllers to the table	Tap Controller am Tisch befestigen	Fije los mandos táctiles Tap en la mesa	Fija el remoto táctil Tap a la mesa	Fixer les contrôleurs Tap à la table	Fixer les contrôleurs Tap à la table	Fixer les contrôleurs Tap à la table	Fixer les contrôleurs Tap à la table	Fissa i dispositivi di controllo Tap al tavolo	Fissa i dispositivi di controllo Tap al tavolo	Tapコントローラをテーブルに固定	Bevestig Tap-controllers aan de tafel	Bevestig Tap-controllers aan de tafel	Prenda os controladores Tap na mesa	将 TP100 控制器固定在桌面上	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table	Fija el remoto táctil Tap a la mesa	Fija el remoto táctil Tap a la mesa	Tap Controller am Tisch befestigen	Tap Controller am Tisch befestigen	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table	Secure Tap controllers to the table
Extend Mic Pods with category cabling	Mic Pods mit dem Category-Kabel erweitern	Amplíe Mic Pods con cableado Ethernet	Amplíe Mic Pods con cableado de categoría	Étendre les modules de micro avec un câblage de catégorie	Étendre les modules de micro avec un câblage de catégorie	Étendre les modules de micro avec un câblage de catégorie	Étendre les modules de micro avec un câblage de catégorie	Amplia i mic pod con cavi Cat	Amplia i mic pod con cavi Cat	カテゴリケーブルでマイクポッドを拡張	Uitbreiden van Mic Pods met cat-bekabeling	Uitbreiden van Mic Pods met cat-bekabeling	Amplie os mic pods com cabeamento da categoria	使用类别线缆扩展麦克风	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Amplíe Mic Pods con cableado de categoría	Amplíe Mic Pods con cableado de categoría	Mic Pods mit dem Category-Kabel erweitern	Mic Pods mit dem Category-Kabel erweitern	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling	Extend Mic Pods with category cabling
Connect and clean up cabling for Mic Pods	Kabel für Mic Pods anschließen und verstauen	Conecte y despeje el cableado de Mics Pods	Conecta y ordena el cableado para Mic Pods	Connecter et nettoyer le câblage des modules de micro	Connecter et nettoyer le câblage des modules de micro	Connecter et nettoyer le câblage des modules de micro	Connecter et nettoyer le câblage des modules de micro	Collega e ordina i cavi per i mic pod	Collega e ordina i cavi per i mic pod	マイクポッドの接続とすっきりした配線	Bekabeling aansluiten en wegwerken voor Mic Pods	Bekabeling aansluiten en wegwerken voor Mic Pods	Conecte e organize o cabeamento dos mic pods	连接和清理麦克风布线	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Conecta y ordena el cableado para Mic Pods	Conecta y ordena el cableado para Mic Pods	Kabel für Mic Pods anschließen und verstauen	Kabel für Mic Pods anschließen und verstauen	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods	Connect and clean up cabling for Mic Pods
Room scheduling panel	Raumplanungs-Panel	Panel de planificación de salas	Panel de programación Room	Panneau de planification de salle	Panneau de planification de salle	Panneau de planification de salle	Panneau de planification de salle	Pannello di pianificazione della sala	Pannello di pianificazione della sala	会議室用スケジューリングパネル	Ruimteplanningspaneel	Ruimteplanningspaneel	Painel de agendamento de sala	会议室日程安排面板	Room scheduling panel	Room scheduling panel	Room scheduling panel	Room scheduling panel	Room scheduling panel	Room scheduling panel	Panel de programación Room	Panel de programación Room	Raumplanungs-Panel	Raumplanungs-Panel	Room scheduling panel	Room scheduling panel	Room scheduling panel	Room scheduling panel
Mount Tap Scheduler at lower angle	Tap Scheduler in niedrigerem Winkel montieren	Monte Tap Scheduler en un ángulo más bajo	Montaje del Tap Scheduler en ángulo inferior	Fixer Tap Scheduler à un angle inférieur	Fixer Tap Scheduler à un angle inférieur	Fixer Tap Scheduler à un angle inférieur	Fixer Tap Scheduler à un angle inférieur	Monta Tap Scheduler a un angolo più basso	Monta Tap Scheduler a un angolo più basso	Tap スケジューラーを低い角度で取り付け	Tap Scheduler in een lagere hoek bevestigen	Tap Scheduler in een lagere hoek bevestigen	Instale o Tap Scheduler em um ângulo inferior	以较低角度安装 TS100 日程显示屏	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Montaje del Tap Scheduler en ángulo inferior	Montaje del Tap Scheduler en ángulo inferior	Tap Scheduler in niedrigerem Winkel montieren	Tap Scheduler in niedrigerem Winkel montieren	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle	Mount Tap Scheduler at lower angle
AI-powered whiteboard camera	KI-gesteuerte Whiteboard-Kamera	Cámara para pizarra con IA	Cámara para pizarra con inteligencia artificial	Caméra pour tableau blanc optimisée par l’IA	Caméra pour tableau blanc optimisée par l’IA	Caméra pour tableau blanc optimisée par l’IA	Caméra pour tableau blanc optimisée par l’IA	Videocamera per lavagne digitali con IA	Videocamera per lavagne digitali con IA	AI搭載のホワイトボードカメラ	Whiteboardcamera ondersteund door AI	Whiteboardcamera ondersteund door AI	Câmera de quadro branco com tecnologia de IA	AI 驱动的白板摄像头	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera	Cámara para pizarra con inteligencia artificial	Cámara para pizarra con inteligencia artificial	KI-gesteuerte Whiteboard-Kamera	KI-gesteuerte Whiteboard-Kamera	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera	AI-powered whiteboard camera
Bring-your-own-laptop connection	Verbindung für eigenes Notebook (BYOD)	Conexión para uso de portátil propio	Conexión para usar tu propia laptop	Connexion à votre propre ordinateur portable	Connexion à votre propre ordinateur portable	Connexion à votre propre ordinateur portable	Connexion à votre propre ordinateur portable	Connessione Bring Your Own Laptop	Connessione Bring Your Own Laptop	ノートパソコン持ち込み接続	Bring-your-own-laptop verbinding	Bring-your-own-laptop verbinding	Conexão traga seu próprio laptop	自带笔记本电脑连接	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Conexión para usar tu propia laptop	Conexión para usar tu propia laptop	Verbindung für eigenes Notebook (BYOD)	Verbindung für eigenes Notebook (BYOD)	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection	Bring-your-own-laptop connection
Single cable bring-your-own-device extended connection	Ein Kabel, Bring-Your-Own-Device, erweiterte Verbindung	Un solo cable, trae tu propio dispositivo, conexión extendida	Un solo cable, trae tu propio dispositivo, conexión extendida	Connexion étendue à un seul câble, apportez votre propre appareil	Connexion étendue à un seul câble, apportez votre propre appareil	Connexion étendue à un seul câble, apportez votre propre appareil	Connexion étendue à un seul câble, apportez votre propre appareil	Connessione estesa a singolo cavo, porta il tuo dispositivo	Connessione estesa a singolo cavo, porta il tuo dispositivo	単一ケーブル、BYOD、拡張接続	Eén kabel, breng je eigen apparaat mee, uitgebreide verbinding	Eén kabel, breng je eigen apparaat mee, uitgebreide verbinding	Um único cabo, traga seu próprio dispositivo, conexão estendida	单线自带设备 扩展连接	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Un solo cable, trae tu propio dispositivo, conexión extendida	Un solo cable, trae tu propio dispositivo, conexión extendida	Ein Kabel, Bring-Your-Own-Device, erweiterte Verbindung	Ein Kabel, Bring-Your-Own-Device, erweiterte Verbindung	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection	Single cable bring-your-own-device extended connection
Single cable bring-your-own-device 5m connection with MeetUp 2	Ein Kabel, Bring-Your-Own-Device, 5 m Verbindung mit MeetUp 2	Un solo cable, trae tu propio dispositivo, conexión de 5 m con MeetUp 2	Un solo cable, trae tu propio dispositivo, conexión de 5 m con MeetUp 3	Connexion à un seul câble, apportez votre propre appareil, 5 m avec MeetUp 2	Connexion à un seul câble, apportez votre propre appareil, 5 m avec MeetUp 2	Connexion à un seul câble, apportez votre propre appareil, 5 m avec MeetUp 2	Connexion à un seul câble, apportez votre propre appareil, 5 m avec MeetUp 2	Connessione a singolo cavo, porta il tuo dispositivo, 5 m con MeetUp 2	Connessione a singolo cavo, porta il tuo dispositivo, 5 m con MeetUp 2	単一ケーブル、BYOD、5m 接続、MeetUp 2 対応	Eén kabel, breng je eigen apparaat mee, 5 m verbinding met MeetUp 2	Eén kabel, breng je eigen apparaat mee, 5 m verbinding met MeetUp 2	Um único cabo, traga seu próprio dispositivo, conexão de 5 m com MeetUp 2	单线自带设备 5m 连接，适用于 MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 2	Un solo cable, trae tu propio dispositivo, conexión de 5 m con MeetUp 2	Un solo cable, trae tu propio dispositivo, conexión de 5 m con MeetUp 2	Ein Kabel, Bring-Your-Own-Device, 5 m Verbindung mit MeetUp 2	Ein Kabel, Bring-Your-Own-Device, 5 m Verbindung mit MeetUp 3	Single cable bring-your-own-device 5m connection with MeetUp 2	Single cable bring-your-own-device 5m connection with MeetUp 3	Single cable bring-your-own-device 5m connection with MeetUp 4	Single cable bring-your-own-device 5m connection with MeetUp 5
Connect an additional display	Zusätzlichen Bildschirm anschließen	Conecte una pantalla adicional	Conectar una pantalla adicional	Connecter un écran supplémentaire	Connecter un écran supplémentaire	Connecter un écran supplémentaire	Connecter un écran supplémentaire	Collega un display aggiuntivo	Collega un display aggiuntivo	追加ディスプレイを接続	Een extra scherm aansluiten	Een extra scherm aansluiten	Conecte um monitor adicional	连接额外的显示器	Connect an additional display	Connect an additional display	Connect an additional display	Connect an additional display	Connect an additional display	Connect an additional display	Conectar una pantalla adicional	Conectar una pantalla adicional	Zusätzlichen Bildschirm anschließen	Zusätzlichen Bildschirm anschließen	Connect an additional display	Connect an additional display	Connect an additional display	Connect an additional display
Comprehensive service, support, tools and extended coverage	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Servicio integral, asistencia, herramientas y cobertura ampliada	Servicio integral, asistencia, herramientas y cobertura ampliada	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Servizio completo, assistenza, strumenti e copertura estesa	Servizio completo, assistenza, strumenti e copertura estesa	包括的なサービス、サポート、ツールおよび拡張サービス	Uitgebreide service, ondersteuning, tools en uitgebreide dekking	Uitgebreide service, ondersteuning, tools en uitgebreide dekking	Serviço, suporte e ferramentas completas e cobertura estendida	全面的服务、支持、工具和延长质保	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Servicio integral, asistencia, herramientas y cobertura ampliada	Servicio integral, asistencia, herramientas y cobertura ampliada	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage
Comprehensive service, support, tools and extended coverage	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Servicio integral, asistencia, herramientas y cobertura ampliada	Servicio integral, asistencia, herramientas y cobertura ampliada	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Service complet, assistance, outils et couverture étendue	Servizio completo, assistenza, strumenti e copertura estesa	Servizio completo, assistenza, strumenti e copertura estesa	包括的なサービス、サポート、ツールおよび拡張サービス	Uitgebreide service, ondersteuning, tools en uitgebreide dekking	Uitgebreide service, ondersteuning, tools en uitgebreide dekking	Serviço, suporte e ferramentas completas e cobertura estendida	全面的服务、支持、工具和延长质保	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Servicio integral, asistencia, herramientas y cobertura ampliada	Servicio integral, asistencia, herramientas y cobertura ampliada	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Umfassende(r) Service, Support, Tools und erweiterte Erfassung	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage	Comprehensive service, support, tools and extended coverage
--				--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--					--	--	--	--
--				--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--					--	--	--	--
Add additional Mic Pods	Weitere Mic Pods hinzufügen	Añadir Mic Pods adicionales	Agregar Mic Pods adicionales	Ajouter des modules de micro supplémentaires	Ajouter des modules de micro supplémentaires	Ajouter des modules de micro supplémentaires	Ajouter des modules de micro supplémentaires	Aggiungi altri mic pod	Aggiungi altri mic pod	マイクポッドを追加	Extra Mic Pods toevoegen	Extra Mic Pods toevoegen	Incluir mic pods adicionais	添加额外的麦克风	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods	Agregar Mic Pods adicionales	Agregar Mic Pods adicionales	Weitere Mic Pods hinzufügen	Weitere Mic Pods hinzufügen	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods	Add additional Mic Pods
																												
Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Das modulare System umfasst eine Rally Kamera, 2 Rally Speakers, 2 Mic Pods, einen Display Hub und einen Table Hub zur Platzierung in großen und alternativen Räumen.	El sistema modular incluye una Rally Camera, 2 Rally Speakers, 2 Mic Pods, un Display Hub y un Table Hub para su colocación en salas grandes y alternativas.	El sistema modular incluye una Rally Camera, 2 Rally Speakers, 2 Mic Pods, un Display Hub y un Table Hub para instalarlo en salas grandes y alternativas.	Le système modulaire comprend Rally Camera, 2 Rally Speaker, 2 modules de micro, un hub d’écran et un hub de table pour une installation dans une configuration de grande salle ou de salle alternative.	Le système modulaire comprend Rally Camera, 2 Rally Speaker, 2 modules de micro, un hub d’écran et un hub de table pour une installation dans une configuration de grande salle ou de salle alternative.	Le système modulaire comprend Rally Camera, 2 Rally Speaker, 2 modules de micro, un hub d’écran et un hub de table pour une installation dans une configuration de grande salle ou de salle alternative.	Le système modulaire comprend Rally Camera, 2 Rally Speaker, 2 modules de micro, un hub d’écran et un hub de table pour une installation dans une configuration de grande salle ou de salle alternative.	Il sistema modulare include Rally Camera, 2 Rally Speaker, 2 mic pod, un hub da schermo e un hub da tavolo per il posizionamento in sale di grandi dimensioni e alternative.	Il sistema modulare include Rally Camera, 2 Rally Speaker, 2 mic pod, un hub da schermo e un hub da tavolo per il posizionamento in sale di grandi dimensioni e alternative.	モジュール式システムには、 Rally カメラ、Rallyスピーカーx2 、マイクポッドx2、ディスプレイハブx1、テーブルハブx1が含まれており、大会議室や代替会議室に設置できます。	Het modulaire systeem omvat een Rally Camera, 2 Rally Speakers, 2 Mic Pods, een Display Hub en een Table Hub voor plaatsing in grote en alternatieve ruimteopstellingen.	Het modulaire systeem omvat een Rally Camera, 2 Rally Speakers, 2 Mic Pods, een Display Hub en een Table Hub voor plaatsing in grote en alternatieve ruimteopstellingen.	O sistema modular inclui a Rally Camera, duas Rally Speakers, dois mic pods, um Display Hub e um Table Hub para instalação em configurações de salas grandes e alternativas.	模块化系统包括 CC4900e 摄像头、2 只 CC5000e 扬声器、2 只 麦克风、1 个 显示器集线器和一个桌面集线器，适用于大型和替代会议室设置。	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	El sistema modular incluye una Rally Camera, 2 Rally Speakers, 2 Mic Pods, un Display Hub y un Table Hub para instalarlo en salas grandes y alternativas.	El sistema modular incluye una Rally Camera, 2 Rally Speakers, 2 Mic Pods, un Display Hub y un Table Hub para instalarlo en salas grandes y alternativas.	Das modulare System umfasst eine Rally Kamera, 2 Rally Speakers, 2 Mic Pods, einen Display Hub und einen Table Hub zur Platzierung in großen und alternativen Räumen.	Das modulare System umfasst eine Rally Kamera, 2 Rally Speakers, 2 Mic Pods, einen Display Hub und einen Table Hub zur Platzierung in großen und alternativen Räumen.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.	Modular system includes Rally Camera, 2 Rally Speakers, 2 Mic Pods, a Display Hub, and a Table Hub for placement in large and alternative room setups.
